,0
0,700:  Automatic Binding Bricks
1, Individual 2 x 4 Bricks
2, Individual 2 x 2 Bricks
3, Automatic Binding Bricks Small Brick Set (Lego Mursten)
4, Individual 1 x 4 x 2 Window (without glass)
5, Individual 1 x 2 x 3 Window (without glass)
6, Individual 1 x 2 x 2 Window (without glass)
7, Individual 1 x 2 x 4 Door (without glass)
8, Individual 1 x 2 Bricks
9, Individual 2 x 3 Bricks
10, Early LEGO Windows/Doors (without Glass)
11, Automatic Binding Bricks - Small Brick Set (Lego Mursten)
12, Gift Package (Lego Mursten)
13, Individual 2 x 8 Bricks
14, Gift Package (Lego Mursten)
15, Individual 2 x 10 Bricks
16, Individual 2 x 12 Bricks
17, Individual 2 x 14 Bricks
18, Gift Package (Lego Mursten)
19, Gift Package (Lego Mursten)
20, Gift Package (Lego Mursten)
21, Gift Package (Lego Mursten)
22, Gift Package (Lego Mursten)
23, Tall Classic Windows/Door (with Glass)
24, Individual 1 x 6 x 4 Panorama Window (with glass)
25, Individual 1 x 6 x 3 3-Pane Window (with glass)
26, Individual 1 x 6 x 3 Shutter Window (with glass)
27, Individual 1 x 4 x 3 Window (with glass)
28, Individual 1 x 3 x 3 Window (with glass)
29, Individual 1 x 2 x 4 Door (with glass)
30, Individual 10 x 20 Baseplate
31, Individual 4 x 4 Corner Bricks
32,"1200:  LEGO Town Plan Board, Large Plastic"
33,1210:  Small Store Set
34,1211:  Small House Set
35,1212:  Small House - Left Set
36,1213:  Small House - Right Set
37,1214:  Windows and Doors
38,1215:  2 x 8 & 2 x 10 Bricks
39,1216:  4 x 4 Corner Bricks
40,1217:  2 x 4 Bricks
41,1218:  2 x 3 Bricks
42,1219:  2 x 2 Bricks
43,1220:  1 x 2 Bricks
44,1221:  1 x 1 Bricks
45,1222:  1 x 1 Round Bricks
46,1223:  2 x 2 & 2 x 4 Curved Bricks
47,1224:  8 Named Beams
48,1225:  Mixed Plates Parts Pack
49,1230:  Windows and Door without Glass
50,1235:  Garage Plate and Door
51,1236:  Garage
52,1237:  Service Station
53,1240:  8 Road Signs
54,1241:  8 Road Signs
55,1247:  Esso Pumps/Sign
56,1248:  Painted Trees and Bushes
57,1250:  1:87 Esso Bedford Tanker
58,1251:  1:87 Esso Bedford Truck
59,1252:  1:87 Esso Bedford Trailer
60,1253:  1:87 Bedford Flatbed Truck
61,1254:  1:87 Bedford Flatbed Trailer
62,1255:  1:87 Bedford Fire Engine
63,1256:  1:87 Bedford Tow Truck
64,1257:  1:87 Bedford Delivery Truck
65,1300:  Lego Mosaik Set (Small)
66,1301:  Lego Mosaik Set (Large)
67, 8 Danish Named Beams
68, 1 x 6 and 1 x 8 Bricks
69,224:  2 x 2 & 2 x 4 Curved Bricks
70,231:  Esso Pumps/Sign
71,236:  Garage with Automatic Door (White base and door frame)
72,250:  1:87 Esso Bedford Tanker
73,251:  1:87 Esso Bedford Truck
74,252:  1:87 Esso Bedford Trailer
75,275:  1:87 VW Van
76,"1200:  LEGO Town Plan Board, Small Plastic"
77,1226:  6 x 8 & 2 x 8 Plates
78,1227:  4 x 8 & 2 x 8 Plates
79,1228:  4 x 8 Curved & 2 x 8 Plates
80,"1231:  Windows and Door with Glass, Red"
81,"1231:  Windows and Door with Glass, White"
82,1270:  5 Cyclists / Motorcyclists
83,1271:  Traffic Police Set
84,1310:  ESSO Filling Station
85, Gift Package
86, Gift Package
87, Gift Package
88, Gift Package
89, Gift Package
90, Gift Package
91, Gift Package
92, Gift Package
93,"200:  LEGO Town Plan Board, Plastic"
94,214:  Windows and Doors Retailer Pack
